,drugname_brand,drugname_generic,anatomical,therapeutic,pharmacologic,chemical,substance,name
15,ABILIFY MAINTENA,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE HYDRATE
16,ARIPIPRAZOLE,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE
17,ARIPIPRAZOLE,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE CAVOXIL
18,ARIPIPRAZOLE,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE LAUROXIL
19,ARIPIPRAZOLE,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE HYDRATE
20,ARIPIPRAZOLE ODT,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE
21,ARIPIPRAZOLE ODT,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE CAVOXIL
22,ARIPIPRAZOLE ODT,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE LAUROXIL
23,ARIPIPRAZOLE ODT,ARIPIPRAZOLE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,OTHER ANTIPSYCHOTICS,ARIPIPRAZOLE,ARIPIPRAZOLE HYDRATE
24,ABSORICA,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN
25,ABSORICA,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
26,ABSORICA,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN
27,ABSORICA,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
28,AMNESTEEM,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN
29,AMNESTEEM,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
30,AMNESTEEM,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN
31,AMNESTEEM,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
32,CLARAVIS,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN
33,CLARAVIS,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
34,CLARAVIS,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN
35,CLARAVIS,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
36,MYORISAN,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN
37,MYORISAN,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
38,MYORISAN,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN
39,MYORISAN,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
40,ZENATANE,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN
41,ZENATANE,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
42,ZENATANE,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN
43,ZENATANE,ISOTRETINOIN,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF ACNE,ISOTRETINOIN,ISOTRETINOIN ANISATIL
44,ACARBOSE,ACARBOSE,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",ALPHA GLUCOSIDASE INHIBITORS,ACARBOSE,ACARBOSE
45,PRECOSE,ACARBOSE,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",ALPHA GLUCOSIDASE INHIBITORS,ACARBOSE,ACARBOSE
46,ACCOLATE,ZAFIRLUKAST,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,LEUKOTRIENE RECEPTOR ANTAGONISTS,ZAFIRLUKAST,ZAFIRLUKAST
47,ZAFIRLUKAST,ZAFIRLUKAST,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,LEUKOTRIENE RECEPTOR ANTAGONISTS,ZAFIRLUKAST,ZAFIRLUKAST
48,ACETAZOLAMIDE,ACETAZOLAMIDE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,CARBONIC ANHYDRASE INHIBITORS,ACETAZOLAMIDE,ACETAZOLAMIDE
49,ACETAZOLAMIDE,ACETAZOLAMIDE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,CARBONIC ANHYDRASE INHIBITORS,ACETAZOLAMIDE,ACETAZOLAMIDE SODIUM
50,DIAMOX SEQUELS,ACETAZOLAMIDE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,CARBONIC ANHYDRASE INHIBITORS,ACETAZOLAMIDE,ACETAZOLAMIDE
51,DIAMOX SEQUELS,ACETAZOLAMIDE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,CARBONIC ANHYDRASE INHIBITORS,ACETAZOLAMIDE,ACETAZOLAMIDE SODIUM
52,ACETIC ACID,ACETIC ACID,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",ORGANIC ACIDS,ACETIC ACID,"ACETIC ACID, GLACIAL"
53,ACETIC ACID,ACETIC ACID,SENSORY ORGANS,OTOLOGICALS,ANTIINFECTIVES,ANTIINFECTIVES,ACETIC ACID,"ACETIC ACID, GLACIAL"
54,ACETYLCYSTEINE,ACETYLCYSTEINE,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",MUCOLYTICS,ACETYLCYSTEINE,ACETYLCYSTEINE
55,ACETYLCYSTEINE,ACETYLCYSTEINE,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",MUCOLYTICS,ACETYLCYSTEINE,ACETYLCYSTEINE SODIUM SALT
56,ACETYLCYSTEINE,ACETYLCYSTEINE,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,ACETYLCYSTEINE,ACETYLCYSTEINE
57,ACETYLCYSTEINE,ACETYLCYSTEINE,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,ACETYLCYSTEINE,ACETYLCYSTEINE SODIUM SALT
58,ACETYLCYSTEINE,ACETYLCYSTEINE,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,ANTIDOTES,ACETYLCYSTEINE,ACETYLCYSTEINE
59,ACETYLCYSTEINE,ACETYLCYSTEINE,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,ANTIDOTES,ACETYLCYSTEINE,ACETYLCYSTEINE SODIUM SALT
60,ACITRETIN,ACITRETIN,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF PSORIASIS,ACITRETIN,ACITRETIN
61,SORIATANE,ACITRETIN,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR SYSTEMIC USE,RETINOIDS FOR TREATMENT OF PSORIASIS,ACITRETIN,ACITRETIN
62,ACTEMRA,TOCILIZUMAB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,INTERLEUKIN INHIBITORS,TOCILIZUMAB,TOCILIZUMAB
63,ACTICIN,PERMETHRIN,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES","PYRETHRINES, INCL. SYNTHETIC COMPOUNDS",PERMETHRIN,PERMETHRIN
64,ELIMITE,PERMETHRIN,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES","PYRETHRINES, INCL. SYNTHETIC COMPOUNDS",PERMETHRIN,PERMETHRIN
65,PERMETHRIN,PERMETHRIN,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES","PYRETHRINES, INCL. SYNTHETIC COMPOUNDS",PERMETHRIN,PERMETHRIN
66,ACZONE,DAPSONE,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,OTHER ANTI-ACNE PREPARATIONS FOR TOPICAL USE,DAPSONE,DAPSONE
67,ACZONE,DAPSONE,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF LEPRA,DRUGS FOR TREATMENT OF LEPRA,DAPSONE,DAPSONE
68,DAPSONE,DAPSONE,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,OTHER ANTI-ACNE PREPARATIONS FOR TOPICAL USE,DAPSONE,DAPSONE
69,DAPSONE,DAPSONE,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF LEPRA,DRUGS FOR TREATMENT OF LEPRA,DAPSONE,DAPSONE
70,ADALAT CC,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
71,AFEDITAB CR,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
72,NIFEDIAC CC,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
73,NIFEDICAL XL,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
74,NIFEDIPINE,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
75,NIFEDIPINE ER,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
76,NIFEDIPINE XL,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
77,PROCARDIA,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
78,PROCARDIA XL,NIFEDIPINE,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,DIHYDROPYRIDINE DERIVATIVES,NIFEDIPINE,NIFEDIPINE
79,ADAPALENE,ADAPALENE,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ADAPALENE,ADAPALENE
80,DIFFERIN,ADAPALENE,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,RETINOIDS FOR TOPICAL USE IN ACNE,ADAPALENE,ADAPALENE
81,ADCETRIS,BRENTUXIMAB VEDOTIN,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,MONOCLONAL ANTIBODIES,BRENTUXIMAB VEDOTIN,BRENTUXIMAB VEDOTIN
82,ADCIRCA,TADALAFIL,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,DRUGS USED IN ERECTILE DYSFUNCTION,TADALAFIL,TADALAFIL
83,CIALIS,TADALAFIL,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,DRUGS USED IN ERECTILE DYSFUNCTION,TADALAFIL,TADALAFIL
84,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,NUCLEOSIDE AND NUCLEOTIDE REVERSE TRANSCRIPTASE INHIBITORS,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL
85,HEPSERA,ADEFOVIR DIPIVOXIL,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,NUCLEOSIDE AND NUCLEOTIDE REVERSE TRANSCRIPTASE INHIBITORS,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL
86,ADEMPAS,RIOCIGUAT,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,ANTIHYPERTENSIVE FOR PULMONARY ARTERIAL HYPERTENSION,RIOCIGUAT,RIOCIGUAT
87,ADRENACLICK,EPINEPHRINE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,OTHER AGENTS FOR LOCAL ORAL TREATMENT,EPINEPHRINE,EPINEPHRINE
88,ADRENACLICK,EPINEPHRINE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,OTHER AGENTS FOR LOCAL ORAL TREATMENT,EPINEPHRINE,EPINEPHRINE HYDROCHLORIDE
89,ADRENACLICK,EPINEPHRINE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,OTHER AGENTS FOR LOCAL ORAL TREATMENT,EPINEPHRINE,EPINEPHRINE BITARTRATE
90,ADRENACLICK,EPINEPHRINE,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,LOCAL HEMOSTATICS,EPINEPHRINE,EPINEPHRINE
91,ADRENACLICK,EPINEPHRINE,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,LOCAL HEMOSTATICS,EPINEPHRINE,EPINEPHRINE HYDROCHLORIDE
92,ADRENACLICK,EPINEPHRINE,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,LOCAL HEMOSTATICS,EPINEPHRINE,EPINEPHRINE BITARTRATE
93,ADRENACLICK,EPINEPHRINE,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,ADRENERGIC AND DOPAMINERGIC AGENTS,EPINEPHRINE,EPINEPHRINE
94,ADRENACLICK,EPINEPHRINE,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,ADRENERGIC AND DOPAMINERGIC AGENTS,EPINEPHRINE,EPINEPHRINE HYDROCHLORIDE
95,ADRENACLICK,EPINEPHRINE,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,ADRENERGIC AND DOPAMINERGIC AGENTS,EPINEPHRINE,EPINEPHRINE BITARTRATE
96,ADRENACLICK,EPINEPHRINE,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"SYMPATHOMIMETICS, PLAIN",EPINEPHRINE,EPINEPHRINE
97,ADRENACLICK,EPINEPHRINE,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"SYMPATHOMIMETICS, PLAIN",EPINEPHRINE,EPINEPHRINE HYDROCHLORIDE
98,ADRENACLICK,EPINEPHRINE,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"SYMPATHOMIMETICS, PLAIN",EPINEPHRINE,EPINEPHRINE BITARTRATE
99,ADRENACLICK,EPINEPHRINE,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",ALPHA- AND BETA-ADRENORECEPTOR AGONISTS,EPINEPHRINE,EPINEPHRINE
100,ADRENACLICK,EPINEPHRINE,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",ALPHA- AND BETA-ADRENORECEPTOR AGONISTS,EPINEPHRINE,EPINEPHRINE HYDROCHLORIDE
101,ADRENACLICK,EPINEPHRINE,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",ALPHA- AND BETA-ADRENORECEPTOR AGONISTS,EPINEPHRINE,EPINEPHRINE BITARTRATE
102,ADRENACLICK,EPINEPHRINE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,SYMPATHOMIMETICS IN GLAUCOMA THERAPY,EPINEPHRINE,EPINEPHRINE
103,ADRENACLICK,EPINEPHRINE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,SYMPATHOMIMETICS IN GLAUCOMA THERAPY,EPINEPHRINE,EPINEPHRINE HYDROCHLORIDE
104,ADRENACLICK,EPINEPHRINE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,SYMPATHOMIMETICS IN GLAUCOMA THERAPY,EPINEPHRINE,EPINEPHRINE BITARTRATE
105,ADRENALIN,EPINEPHRINE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,OTHER AGENTS FOR LOCAL ORAL TREATMENT,EPINEPHRINE,EPINEPHRINE
106,ADRENALIN,EPINEPHRINE,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,OTHER AGENTS FOR LOCAL ORAL TREATMENT,EPINEPHRINE,EPINEPHRINE HYDROCHLORIDE
